,순위,곡명,가수,좋아요
0,1,TOO BAD (feat. Anderson .Paak),G-DRAGON,"127,937"
1,2,like JENNIE,제니 (JENNIE),"58,187"
2,3,모르시나요(PROD.로코베리),조째즈,"61,138"
3,4,Drowning,WOODZ,"171,998"
4,5,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"207,205"
5,6,나는 반딧불,황가람,"135,248"
6,7,REBEL HEART,IVE (아이브),"93,665"
7,8,Whiplash,aespa,"129,191"
8,9,오늘만 I LOVE YOU,BOYNEXTDOOR,"132,069"
9,10,APT.,"로제 (ROSÉ), Bruno Mars","210,202"
10,11,HOT,LE SSERAFIM (르세라핌),"27,197"
11,12,HAPPY,DAY6 (데이식스),"185,156"
12,13,ATTITUDE,IVE (아이브),"52,549"
13,14,Flower,오반(OVAN),"29,391"
14,15,toxic till the end,로제 (ROSÉ),"106,245"
15,16,내게 사랑이 뭐냐고 물어본다면,로이킴,"67,142"
16,17,I DO ME,KiiiKiii (키키),"43,413"
17,18,PO￦ER,G-DRAGON,"155,812"
18,19,사랑은 늘 도망가,임영웅,"225,662"
19,20,소나기,이클립스 (ECLIPSE),"178,156"
20,21,TAKE ME,G-DRAGON,"53,212"
21,22,미치게 그리워서,황가람,"22,492"
22,23,한 페이지가 될 수 있게,DAY6 (데이식스),"349,060"
23,24,Welcome to the Show,DAY6 (데이식스),"173,323"
24,25,Supernova,aespa,"179,889"
25,26,천상연,이창섭,"123,737"
26,27,Die With A Smile,"Lady Gaga, Bruno Mars","80,920"
27,28,우리들의 블루스,임영웅,"115,061"
28,29,예뻤어,DAY6 (데이식스),"366,771"
29,30,청춘만화,이무진,"50,693"
30,31,DRIP,BABYMONSTER,"57,099"
31,32,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"482,008"
32,33,천국보다 아름다운,임영웅,"23,892"
33,34,슬픈 초대장,순순희(지환),"68,413"
34,35,UP (KARINA Solo),aespa,"108,653"
35,36,Love wins all,아이유,"207,511"
36,37,온기,임영웅,"44,658"
37,38,다시 만날 수 있을까,임영웅,"92,488"
38,39,MY LOVE(2025),"이예은, 아샤트리, 전건호","11,710"
39,40,모래 알갱이,임영웅,"68,842"
40,41,청혼하지 않을 이유를 못 찾았어,이무진,"52,251"
41,42,내 이름 맑음,QWER,"92,433"
42,43,이제 나만 믿어요,임영웅,"180,786"
43,44,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"146,137"
44,45,Dash,PLAVE,"53,919"
45,46,Home,임영웅,"46,007"
46,47,The Chase,Hearts2Hearts (하츠투하츠),"27,665"
47,48,사랑인가 봐,멜로망스,"222,808"
48,49,첫 만남은 계획대로 되지 않아,TWS (투어스),"158,149"
49,50,"무제(無題) (Untitled, 2014)",G-DRAGON,"312,786"
50,51,너의 모든 순간,성시경,"307,670"
51,52,고민중독,QWER,"143,194"
52,53,How Sweet,NewJeans,"149,484"
53,54,Magnetic,아일릿(ILLIT),"131,276"
54,55,무지개,임영웅,"82,486"
55,56,비의 랩소디,임재현,"99,060"
56,57,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"437,080"
57,58,에피소드,이무진,"123,989"
58,59,Do or Die,임영웅,"50,296"
59,60,나는 아픈 건 딱 질색이니까,(여자)아이들,"168,012"
60,61,London Boy,임영웅,"68,173"
61,62,주저하는 연인들을 위해,잔나비,"439,137"
62,63,Supersonic,프로미스나인,"76,975"
63,64,Mantra,제니 (JENNIE),"75,232"
64,65,다정히 내 이름을 부르면,"경서예지, 전건호","211,704"
65,66,인생찬가,임영웅,"60,624"
66,67,봄날,방탄소년단,"517,099"
67,68,I AM,IVE (아이브),"228,639"
68,69,헤어지자 말해요,박재정,"186,189"
69,70,어제보다 슬픈 오늘,우디 (Woody),"8,100"
70,71,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR,"42,377"
71,72,너와의 모든 지금,재쓰비 (JAESSBEE),"91,123"
72,73,Seven (feat. Latto) - Clean Ver.,정국,"221,707"
73,74,RIZZ,PLAVE,"40,737"
74,75,Small girl (feat. 도경수(D.O.)),이영지,"160,756"
75,76,너에게 닿기를,10CM,"29,885"
76,77,인사,범진,"144,246"
77,78,Hype Boy,NewJeans,"308,825"
78,79,Island,PLAVE,"39,069"
79,80,미안해 미워해 사랑해,Crush,"106,905"
80,81,취중고백,김민석,"198,334"
81,82,사막에서 꽃을 피우듯,우디 (Woody),"105,014"
82,83,Ditto,NewJeans,"303,850"
83,84,Armageddon,aespa,"91,221"
84,85,12:32 (A to T),PLAVE,"37,693"
85,86,Sticky,KISS OF LIFE,"87,661"
86,87,Chroma Drift,PLAVE,"41,151"
87,88,Sweet Dreams (feat. Miguel),"j-hope, Miguel","30,307"
88,89,녹아내려요,DAY6 (데이식스),"92,877"
89,90,해야 (HEYA),IVE (아이브),"90,809"
90,91,살기 위해서,순순희,"29,662"
91,92,poppop,NCT WISH,"17,699"
92,93,DRAMA,G-DRAGON,"36,424"
93,94,숙녀에게,송필근,"13,050"
94,95,Supernatural,NewJeans,"105,693"
95,96,earthquake,지수 (JISOO),"27,755"
96,97,보금자리,임영웅,"55,067"
97,98,number one girl,로제 (ROSÉ),"55,448"
98,99,Igloo,KISS OF LIFE,"43,277"
99,100,To. X,태연 (TAEYEON),"172,192"
