,종목명,현재가
0,삼성전자,"56,700"
1,SK하이닉스,"180,300"
2,LG에너지솔루션,"343,000"
3,삼성바이오로직스,"1,023,000"
4,현대차,"183,800"
5,삼성전자우,"46,950"
6,한화에어로스페이스,"784,000"
7,셀트리온,"160,900"
8,기아,"85,100"
9,HD현대중공업,"348,000"
10,KB금융,"76,800"
11,NAVER,"186,000"
12,한화오션,"80,000"
13,신한지주,"46,700"
14,현대모비스,"243,000"
15,메리츠금융지주,"114,500"
16,POSCO홀딩스,"255,500"
17,삼성물산,"115,000"
18,크래프톤,"368,500"
19,카카오,"39,300"
20,HMM,"19,210"
21,삼성화재,"348,000"
22,하나금융지주,"56,400"
23,HD한국조선해양,"225,500"
24,삼성생명,"78,700"
25,LG화학,"220,500"
26,한국전력,"23,900"
27,두산에너빌리티,"23,400"
28,SK이노베이션,"97,100"
29,고려아연,"687,000"
30,KT&G,"107,100"
31,삼성중공업,"14,560"
32,삼성SDI,"176,900"
33,SK텔레콤,"56,000"
34,우리금융지주,"16,140"
35,KT,"47,250"
36,LG전자,"70,600"
37,현대로템,"105,600"
38,기업은행,"14,270"
39,SK스퀘어,"84,200"
40,HD현대일렉트릭,"311,000"
41,포스코퓨처엠,"128,400"
42,카카오뱅크,"20,750"
43,LG,"62,700"
44,포스코인터내셔널,"53,900"
45,하이브,"221,500"
46,유한양행,"113,900"
47,삼성에스디에스,"114,900"
48,삼성전기,"118,700"
49,SK,"121,000"
